There were varying degrees of Romanization throughout Roman Dacia.	Houve vários graus de romanização em toda a Dácia romana.
The two worst leaks occurred in 2003 and 2006 in which TVA suspended all ash deposits in the ponds to allow the dredge cells to dry out and stabilize.	Os dois piores vazamentos ocorreram em 2003 e em 2006, nos quais a TVA suspendeu todos os depósitos de cinzas nos tanques para permitir que as células de drenagem secassem e se estabilizassem.
An October 2008 inspection report had identified a "minor leak" in the faulty wall, but the report was not finalized.	Um relatório de inspeção de outubro de 2008 identificou um “pequeno vazamento” na parede com defeito, mas o relatório não foi finalizado.
The spill began sometime between midnight and 1 a.m.	O derramamento começou entre a meia-noite e a 1 hora da manhã.
In January 1973 Young was made Chief of the Space Shuttle Branch of the Astronaut Office.	Em janeiro de 1973, Young foi nomeado chefe da filial do escritório dos astronautas ligados ao ônibus espacial.
In January 1974, he became Chief of the Astronaut Office after the retirement of Alan Shepard.	Em janeiro de 1974, ele se tornou chefe do escritório dos astronautas após Alan Shepard se aposentar.
Young flew two missions of the Space Shuttle, both aboard the Space Shuttle Columbia.	Young voou em duas missões com o ônibus espacial, ambas a bordo do ônibus espacial Columbia.
He commanded the program's 1981 maiden orbital flight, STS-1, and in 1983 commanded STS-9, which carried the first Spacelab module.	Ele comandou o voo orbital inaugural do programa em 1981, o STS-1, e em 1983 comandou o STS-9, que carregou o primeiro módulo do Spacelab.
In 1986 he was in line to make a record seventh space flight on STS-61-J to deploy the Hubble Space Telescope, but the Space Shuttle Challenger disaster earlier that year had delayed NASA's schedule.	Em 1986, ele estava prestes a fazer um sétimo voo espacial recorde no STS-61 para colocar o telescópio espacial Hubble em órbita, mas o desastre com o ônibus espacial Challanger no início do ano atrasou a programação da NASA.
Young was openly critical of NASA management following the Challenger disaster, and in April 1987 was made Special Assistant to JSC Director Aaron Cohen for Engineering, Operations and Safety.	Young criticou abertamente a gestão da NASA após o desastre com o Challanger e, em abril de 1987, ele foi nomeado assistente especial do diretor Aaron Cohen do JSC para engenharia, operações e segurança.
NASA denied that his criticism triggered the move, although Young and industry insiders believed that was the reason for the reassignment.	A NASA negou que suas críticas tenham desencadeado a mudança, embora Young e os integrantes do setor acreditaram que tenha sido essa a razão para a sua transferência de cargo.
In February 1996, he was assigned as Associate Director (Technical) JSC.	Em fevereiro de 1996, ele foi designado como diretor associado (técnico) do JSC.
During his NASA career, Young logged more than 15,000 hours of training, mostly in simulators, to prepare for positions on eleven spaceflights in prime and backup crew positions.	Durante sua carreira na NASA, Young registrou mais de 15.000 horas de treinamento, principalmente em simuladores, para se preparar para participar em onze voos espaciais em posições de tripulação principal e reserva.
Young worked for NASA for 42 years and announced his retirement on December 7, 2004.	Young trabalhou para a NASA durante 42 anos e anunciou sua aposentadoria no dia 7 de dezembro de 2004.
He retired on December 31, 2004, at the age of 74, but continued to attend the Monday Morning Meeting at the Astronaut Office at JSC for several years thereafter.	Ele se aposentou no dia 31 de dezembro de 2004, aos 74 anos, mas seguiu participando das reuniões matinais às segundas-feiras no escritório dos astronautas do JSC por vários anos após isso.
He logged more than 15,275 hours flying time in props, jets, helicopters, and rocket jets; more than 9,200 hours in T-38s; and 835 hours in spacecraft during six space flights.	Ele registrou mais de 15.275 horas de voo em protótipos, jatos, helicópteros e foguetes; mais de 9.200 horas em T-38s; e 835 horas em espaçonaves durante seis voos espaciais. 
On April 12, 2006, Young appeared at the 25th anniversary of the STS-1 launch at the Kennedy Space Center Visitor Complex, along with pilot Robert Crippen.	No dia 12 de abril de 2006, Young apareceu no 25º aniversário do lançamento do STS-1 no Kennedy Space Center Visitor Complex, com o piloto Robert Crippen.
The two spoke of their experiences during the flight.	Os dois falaram sobre suas experiências durante o voo.
In 2012, Young published an autobiography, Forever Young.	Em 2012, Young publicou uma autobiografia, intitulada Forever Young.
Young married Barbara White of Savannah, Georgia, and they had two children, Sandra and John.	Young casou-se com Barbara White, de Savannah, na Geórgia, e eles tiveram dois filhos, Sandra e John.
They were divorced in 1972 after 16 years of marriage.	Eles se divorciaram em 1972, após 16 anos de casamento.
He later married Susy Feldman, and lived in El Lago, Texas, a suburb of Houston.	Mais tarde, ele casou-se com Susy Feldman e foi morar em El Lago, no Texas, um subúrbio de Houston.
Young died on January 5, 2018, at his home in Houston of complications from pneumonia.	Young morreu no dia 5 de janeiro de 2018, em sua casa em Houston, de complicações causadas por pneumonia.
He was 87.	Ele tinha 87 anos.
Abbotsford Bridge is a steel Allan truss bridge that is about 240 m (790 ft) in length.	A Abbotsford Bridge é uma ponte treliça de aço com cerca de 240 metros (790 pés) de comprimentos.
The bridge also contains a single lift span about 20 m (66 ft) in length, which is still in working order.	A ponte também contém um único vão de elevação com cerca de 20 metros (66 pés) de comprimento, que ainda está em funcionamento.
It is two lanes wide through most of its length, but the lift span is only capable of carrying a single lane.	Tem duas faixas de largura na maior parte de seu comprimento, mas o vão de elevação só é capaz de transportar uma única faixa.
The entire bridge has been marked with a single lane and has traffic lights on both ends to control vehicular flow.	Toda a ponte foi marcada com uma única faixa e ela possui semáforos nas duas pontas para controlar o fluxo de veículos.
The bridge was completed in 1928 by the NSW Department of Public Works and, although opened as a traffic bridge, it was designed to carry the loads required for a railway, once the Mildura railway line had been extended over the bridge.	A ponte foi concluída em 1928 pelo Departamento de Obras Públicas de NSW e, embora tenha sido inaugurada como uma ponte de tráfego, foi projetada para transportar as cargas necessárias para uma ferrovia, uma vez que a linha ferroviária de Mildura se estendesse sobre ela.
The line was never extended beyond Yelta, where the terminus remains to this day.	A linha nunca foi estendida além de Yelta, onde o terminal está até hoje.
The location of the bridge was thought to be convenient, as it provided a link to the Sturt Highway without travelling farther upstream to Mildura.	A localização da ponte foi considerada conveniente, pois fornecia uma ligação à rodovia Sturt sem que fosse preciso viajar rio acima até Mildura.
It is the only remaining steel truss bridge with a lift span on the Murray, although other lifting bridges still exist along the river.	É a única ponte de treliça de aço com vão de elevação remanescente sobre o Murray, embora ainda existam outras pontes elevatórias ao longo do rio.
The bridge was built after the decline in commercial river traffic on the Murray.	A ponte foi construída após o declínio do tráfego comercial no rio Murray.
Due to its significance to the local area, it has been listed on the NSW State Heritage Register.	Devido à sua importância para a área local, foi listada no Registro do Patrimônio Estadual de NSW. 
The nearby town of Wentworth was an important river port from which wool was shipped to the coast, and as such there was a variety of traffic in the area.	A cidade vizinha Wentworth era um importante porto fluvial de onde a lã era enviada para a costa, por isso havia uma variedade de tráfego na área.
In the 1890s, irrigated farming greatly expanded in Sunraysia region which is known for its fruit production, and traffic volumes increased further.	Na década de 1890, a agricultura irrigada aumentou muito na região de Sunraysia, famosa por sua produção de frutas, e os volumes de tráfego aumentaram ainda mais.
It was decided to install a punt at this location (then known as Abbot's Ford).	Decidiu-se instalar uma balsa conduzida por cabo neste local (então conhecido como Abbot's Ford).
New South Wales and Victoria had signed an agreement towards constructing bridges for railways over the Murray to serve the settlements on the northern side.	New South Wales e Vitória assinaram um acordo para a construção de pontes para ferrovias sobre o Murray para servir aos assentamentos no lado norte do rio.
In 1923, a report was released that recommended going ahead with the building of four bridges, one of those being the future Abbotsford Bridge.	Em 1923, foi divulgado um relatório que recomendava avançar com a construção de quatro pontes, sendo uma delas a futura ponte Abbotsford.
It was said a bridge in this area would benefit Curlwaa, Wentworth, and a proposed irrigation scheme to the north.	Diz-se que uma ponte nessa área beneficiaria Curlwaa, Wentworth e um esquema de irrigação proposto ao norte.
The cost was estimated at £78,000.	O custo estimado era de £ 78.000.
It had been considered that it might be appropriate to combine these four bridges with locks, but this idea was rejected due to siting concerns.	Considerou-se que poderia ser apropriado combinar essas quatro pontes com eclusas, mas essa ideia foi rejeitada devido a questões de localização.
In 1924, residents of nearby settlements urged construction of the railway line to the proposed bridge site, but they were told this extension of the line was to be delayed.	Em 1924, os residentes em povoados próximos insistiram na construção da linha ferroviária para o local da ponte proposta, mas foram informados que essa extensão da linha seria adiada.
Within that year it was decided that a bridge was to be constructed due to increased traffic volume, and tenders were let for manufacture of the bridge spans, construction of abutments and piles, and transport of materials to the future construction site.	Nesse ano, decidiu-se que uma ponte seria construída devido ao aumento do volume de tráfego, e licitações foram realizadas para a fabricação dos vãos da ponte, a construção de pilares e estacas e o transporte de materiais para o futuro canteiro de obras.
Achebe expanded this criticism when he presented a Chancellor's Lecture at Amherst on 18 February 1975, 'An Image of Africa: Racism in Conrad's "Heart of Darkness"'.	Achebe expandiu esta crítica quando apresentou a palestra do chanceler em Amherst no dia 18 de fevereiro de 1975, “Uma imagem da África: racismo em 'Coração das Trevas' de Conrad”.
Decrying Joseph Conrad as "a bloody racist", Achebe asserted that Conrad's famous novel dehumanises Africans, rendering Africa as "a metaphysical battlefield devoid of all recognisable humanity, into which the wandering European enters at his peril."	Descrevendo Joseph Conrad como um “racista maldito”, Achebe afirmou que o famoso romance de Conrad desumaniza os africanos tornando a África “um campo de batalha metafísico desprovido de toda a humanidade reconhecível, no qual o errante europeu entra por sua conta e risco”.
Achebe also discussed a quotation from Albert Schweitzer, a 1952 Nobel Peace Prize laureate: "That extraordinary missionary, Albert Schweitzer, who sacrificed brilliant careers in music and theology in Europe for a life of service to Africans in much the same area as Conrad writes about, epitomizes the ambivalence.	Achebe também debateu uma citação de Albert Schweitzer, ganhador do Prêmio Nobel da Paz em 1952: “aquele missionário extraordinário, Albert Schweitzer, que sacrificou carreiras brilhantes na música e na teologia na Europa por uma vida de serviço aos africanos, praticamente na mesma área que Conrad escreve sobre, resume a ambivalência.
In a comment which has often been quoted Schweitzer says: 'The African is indeed my brother but my junior brother.' And so he proceeded to build a hospital appropriate to the needs of junior brothers with standards of hygiene reminiscent of medical practice in the days before the germ theory of disease came into being." Some were surprised that Achebe would challenge a man honoured in the West for his "reverence for life".	Em um comentário frequentemente citado, Schweitzer diz: 'o africano é realmente meu irmão, mas meu irmão caçula.' E então ele começou a construir um hospital apropriado às necessidades dos seus irmãos caçulas, com padrões de higiene que lembram a prática médica anterior ao surgimento da teoria dos germes sobre as doenças.” Algumas pessoas ficaram surpresas que Achebe desafiasse um homem homenageado no ocidente por sua “reverência pela vida”.
The lecture caused a storm of controversy, even at the reception immediately following his talk.	A palestra causou uma tempestade polêmica, inclusive na recepção imediatamente seguida de sua fala.
Many English professors in attendance were upset by his remarks; one elderly professor reportedly approached him, said: "How dare you!", and stormed away.	Muitos professores de inglês presentes ficaram chateados com seus comentários; um professor idoso supostamente se aproximou dele e disse: “como você ousa!”, e saiu correndo.
Another suggested that Achebe had "no sense of humour", but several days later Achebe was approached by a third professor, who told him: "I now realize that I had never really read Heart of Darkness although I have taught it for years." Although the lecture angered many of his colleagues, he was nevertheless presented later in 1975 with an honorary doctorate from the University of Stirling and the Lotus Prize for Afro-Asian Writers.	Outro sugeriu que Achebe “não tinha senso de humor”, mas vários dias depois Achebe foi abordado por um terceiro professor, que disse: “agora entendo porque nunca li Coração das Trevas, apesar de ensinar sobre ele há anos.” Embora a palestra irritasse muitos de seus colegas, ele foi agraciado mais tarde em 1975 com um doutorado honorário da Universidade de Stirling e com o Prêmio Lótus para Escritores Afro-asiáticos. 
The first comprehensive rebuttal of Achebe's critique was published in 1983 by British critic Cedric Watts.	A primeira contestação completa da crítica de Achebe foi publicada em 1983 pelo crítico britânico Cedric Watts.
His essay "A Bloody Racist: About Achebe's View of Conrad" defends Heart of Darkness as an anti-imperialist novel, suggesting that "part of its greatness lies in the power of its criticisms of racial prejudice." Palestinian–American theorist Edward Said agreed in his book Culture and Imperialism that Conrad criticised imperialism, but added: "As a creature of his time, Conrad could not grant the natives their freedom, despite his severe critique of the imperialism that enslaved them".	Em seu artigo científico “A Bloody Racist: About Achebe's View of Conrad” ele defende Coração das Trevas como um romance anti-imperialista, sugerindo que “parte de sua grandeza reside no poder de suas críticas ao preconceito racial”. O teórico palestino-americano Edward Said concordou em seu livro Cultura e Imperialismo que Conrad criticava o imperialismo, mas acrescentou: “como uma criatura do seu tempo, Conrad não podia conceder aos nativos sua liberdade, apesar de sua severa crítica ao imperialismo que os escravizou.”
Building on Watts and Said, Nidesh Lawtoo argued that "underneath the first layer of straightforward opposition ... we find an underlying mimetic continuity between Conrad's colonial image of Africa [in Heart of Darkness] and Achebe's postcolonial representation" in Things Fall Apart.	Com base em Watts e Said, Nidesh Lawtoo argumentou que “por baixo da primeira camada de oposição direta […] encontramos uma continuidade mimética subjacente entre a imagem colonial de Conrad sobre a África [em Coração das Trevas] e a representação pós-colonial de Achebe” em O Mundo Se Despedaça.
Achebe's criticism has become a mainstream perspective on Conrad's work.	A crítica de Achebe se tornou uma perspectiva dominante sobre o trabalho de Conrad.
The essay was included in the 1988 Norton critical edition of Conrad's novel.	O artigo foi incluído na edição crítica de Norton de 1988 sobre o romance de Conrad.
Editor Robert Kimbrough called it one of "the three most important events in Heart of Darkness criticism since the second edition of his book ..." Critic Nicolas Tredell divides Conrad criticism "into two epochal phases: before and after Achebe." Asked frequently about his essay, Achebe once explained that he never meant for the work to be abandoned: "It's not in my nature to talk about banning books.	O editor Robert Kimbrough disse que o artigo era um dos “três eventos mais importantes na crítica do Coração das Trevas desde a segunda edição de seu livro”. O crítico Nicolas Tredell divide a crítica de Conrad “em duas fases históricas: antes e depois de Achebe”. Questionado com frequência sobre seu ensaio, Achebe certa vez explicou que nunca pretendeu que a obra fosse abandonada: “não é da minha natureza falar sobre proibir livros.
I am saying, read it – with the kind of understanding and with the knowledge I talk about.	O que eu quero dizer é leia-o, com o tipo de compreensão e de conhecimento do qual eu falo.
And read it beside African works." Interviewed on National Public Radio with Robert Siegel, in October 2009, Achebe remains consistent, although tempering this criticism in a discussion entitled "'Heart of Darkness' is inappropriate": "Conrad was a seductive writer.	E leia o livro ao lado de obras africanas.” Entrevistado para a National Public Radio por Robert Siegel, em outubro de 2009, Achebe permaneceu consistente, embora moderasse essa crítica em uma discussão intitulada “Coração das Trevas é inapropriado”: “Conrad era um escritor sedutor.
He could pull his reader into the fray.	Ele era capaz de puxar seu leitor para o confronto.
And if it were not for what he said about me and my people, I would probably be thinking only of that seduction."	E se não fosse pelo que ele disse sobre mim e o meu povo, eu provavelmente estaria pensando apenas naquela sedução.”
When he returned to the University of Nigeria in 1976, he hoped to accomplish three goals: finish the novel he had been writing, renew the native publication of Okike, and further his study of Igbo culture.	Quando ele retornou para a Universidade da Nigéria em 1976, esperava atingir três objetivos: terminar o romance que estava escrevendo, renovar a publicação nativa de Okike e continuar seu estudo sobre a cultura Igbo.
He also showed that he would not restrict his criticism to European targets.	Ele também mostrou que não restringiria suas críticas a alvos europeus.
In an August 1976 interview, he lashed out at the archetypal Nigerian intellectual, who is divorced from the intellect "but for two things: status and stomach.	Em uma entrevista de agosto de 1976, atacou o arquétipo do intelectual nigeriano, que foi separado de seu intelecto, “porém por duas coisas: status e estômago.
On August 3, 2011, contestants Ricky Jaime and Sasha Mallory danced to "Schoolin Life" in Top 6 Perform round of the eighth season of the American television reality program and dance competition So You Think You Can Dance.	No dia 3 de agosto de 2011, os competidores Ricky Jaime e Sasha Mallory dançaram “Schoolin Life” na rodada de atuação do Top 6 da oitava temporada do reality show americano e competição de dança So You Think You Can Dance.
Their dance performance was choreographed by Kumari Suraj.	Sua apresentação de dança foi coreografada por Kumari Suraj.
Gwen Orel of The Wall Street Journal further described their performance during a review of that episode of the show: "He's in a fedora, and she's got a cute short swingy sheer skirt, with thigh high stockings and a garter belt, and a sheer purple blouse.	Gwen Orel do The Wall Street Journal descreveu ainda sua performance durante a resenha deste episódio do programa: “ele está usando um chapéu fedora, ela veste uma saia curta, transparente e esvoaçante, com meias altas e uma cinta-liga, além de uma blusa roxa transparente.
I don’t get what this style really is, it seems to have a lot of arm movements, and some crouching jumps.	Eu não entendo que estilo realmente é esse, parece ter muitos movimentos de braço e alguns saltos com agachamentos.
He doesn’t look quite sharp enough next to her.	Ele não parece tão expressivo o suficiente ao lado dela.
His split leap is phenomenal."	O seu salto dividido é fenomenal.”
The base slab, or pylon, of the tomb monument rests on a 38-centimetre (15 in) high plinth, separated by a cornice and concave mouldings.	A fundação da base, pilão, do monumento tumular repousa sobre um pedestal de 38 centímetros de altura (15 polegadas), separado por uma cornija e por molduras côncavas.
The pylon is 1.39 metres (4.56 ft) high and 2.02 metres (6.63 ft) wide, decorated with a frieze of winged angel heads (perhaps seraphim) and garlands and ribbons.	O pilão tem 1,39 metros (4,56 pés) de altura e 2,02 (6,63 pés) de largura decorado com um friso de cabeças de anjos alados (talvez serafins), guirlandas e fitas.
Above the pylon, separated by the cornice, are the three Virtues—from left to right, Faith, Charity, and Hope—in shell niches, separated by four Corinthian fluted pilasters.	Acima do pilão, separadas pela cornija, estão as três Virtudes, da esquerda para a direita, a Fé, a Caridade e a Esperança, em nichos côncavos, separadas por quatro pilastras caneladas coríntias.
Such a motif is unprecedented in Tuscan funerary sculpture but found at this date in Venice, Padua, and especially Cossa's native Naples.	Tal decoração é sem precedentes na escultura funerária da Toscana, mas pode ser encontrada nesta época em Veneza, em Pádua e especialmente na cidade natal de Cossa, em Nápoles.
As a result, excursions to Venice have been suggested for both Michelozzo and Donatello.	Como resultado, excursões a Veneza foram sugeridas para ambos Michelozzo e Donatello.
However, Janson suggests that one "need not go all the way to Venice" to find such motifs.	No entanto, Janson sugere que “não é preciso ir até Veneza” para encontrar tais decorações.
Outside Florence, Virtues were common on tombs, with the cardinal Virtues used for laymen, and the theological virtues reserved for ecclesiastics, including the Brancaccio tomb.	Fora de Florença, as Virtudes eram comuns em túmulos, com as Virtudes cardeais usadas para leigos e a teologais reservadas para eclesiásticos, incluindo no túmulo de Brancaccio.
However, the Cossa Virtues, from their hair to their sandals, are more thoroughly antique.	No entanto, as Virtudes de Cossa, dos cabelos às sandálias, são mais antigas.
Donatello also produced two similar bronze Virtues for the Siena Baptistry, whose chronological relationship to the Cossa Virtues is unclear.	Donatello também produziu duas Virtudes de bronze semelhantes para o Batistério de Siena, cuja relação cronológica com as Virtudes de Cossa não é clara.
The 1.05-metre (3.44 ft) tall Faith, to the right of Charity, is holding a Eucharistic chalice; the 1.07-metre (3.51 ft) tall Charity is holding a cornucopia and a brazier (or flaming vase); and the 1.06-metre (3.48 ft) tall Hope, to the left of Charity, has hands clasped in prayer.	A Fé de 1,05 metros (3,44 pés) de altura, à direita da Caridade, segura um cálice eucarístico; a Caridade de 1,07 metros (3,51 pés) de altura segura uma cornucópia e um braseiro (ou vaso flamejante); a Esperança, de 1,06 metros (3,48 pés) de altura, à esquerda da Caridade, tem as mãos entrelaçadas em uma oração. 
