There were varying degrees of Romanization throughout Roman Dacia.	整个罗马达契亚有不同程度的罗马化。
Specialist miners (the Pirusti tribesmen) were brought in from Dalmatia.	专业矿工（佩拉斯特部落成员）是从达尔马提亚带来的。
These Dalmatian miners were kept in sheltered communities (Vicus Pirustarum) and were under the jurisdiction of their own tribal leadership (with individual leaders referred to as princeps).	这些达尔马提亚矿工被生活在群落庇护所 (Vicus Pirustarum) 并由他们自己的部落领导（称为第一公民的个人领袖）进行管辖。
An estimated 50,000 troops were stationed in Dacia at its height.	在达契亚的鼎盛时期，估计有 50,000 名士兵驻扎在达契亚。
At the close of Trajan's first campaign in Dacia in 102, he stationed one legion at Sarmizegetusa Regia.	102 年，在达契亚的第一次战役结束后，图拉真在 Sarmizegetusa Regia 驻扎了一个军团。
With the conclusion of Trajan's conquest of Dacia, he stationed at least two legions in the new province – the Legio IV Flavia Felix positioned at Berzobis, and the Legio XIII Gemina stationed at Apulum.	随着图拉真对达契亚的征服结束，他在这个新行省至少驻扎了两个军团 - 驻扎在 Berzobis 的 Flavia Felix 第四军团和驻扎在 Apulum 的 Gemina 第十三军团。
It has been conjectured that there was a third legion stationed in Dacia at the same time, the Legio I Adiutrix.	据推测，同一时期还有第三个军团驻扎在达契亚，那就是 Adiutrix 第一军团。
However, there is no evidence to indicate when or where it was stationed, and it is unclear whether the legion was fully present, or whether it was only the vexillationes who were stationed in the province.	不过，没有证据表明它于何时何地驻扎，也不清楚该军团是否全员出动，或者是否只有分队驻扎在该省。
Hadrian, the subsequent emperor, shifted the fourth legion (Legio IV Flavia Felix) from Berzobis to Singidunum in Moesia Superior, suggesting that Hadrian believed the presence of one legion in Dacia would be sufficient to ensure the security of the province.	后来的皇帝哈德良将第四军团（Flavia Felix 第四军团）从 Berzobis 转移到 Moesia Superior 的 Singidunum，表明了哈德良认为在达契亚派驻一个军团就足以确保该省的安全。
The Marcomannic Wars that erupted north of the Danube forced Marcus Aurelius to reverse this policy, permanently transferring the Legio V Macedonica from Troesmis (modern Iglița in Romania) in Moesia Inferior to Potaissa in Dacia.	多瑙河以北爆发的马克曼尼战争迫使马库斯奥雷留斯改变了这一策略，将马其顿第五军团从 Moesia Inferior 的 Troesmis（现今的罗马尼亚 lglita）永久转移到达契亚的 Potaissa。
The Kingston Fossil Plant is located on a peninsula at the junction of the Emory River (to the north) and Clinch River (to the south and east), just over 4 miles (6.4 km) upstream from the latter's mouth along the Tennessee River.	Kingston 化石发电厂位于埃默里河（北部）与克林奇河（南部和东部）交界处的一个半岛上，距离后者沿田纳西河的河口仅 4 英里（6.4 公里）。
Watts Bar Dam, located along the Tennessee 38 miles (61 km) downstream from the mouth of the Clinch, impounds a reservoir (Watts Bar Lake) that spans a 72-mile (116 km) stretch of the Tennessee (to Fort Loudoun Dam), the lower 23 miles (37 km) of the Clinch (to Melton Hill Dam), and the lower 12 miles (19 km) of the Emory.	Watts Bar 大坝位于克林奇河口下游 38 英里（61 公里）的田纳西河沿岸，蓄积的水库（Watts Bar 湖）横跨田纳西 72 英里（116 公里）（到 Fort Loudoun 大坝）、克林奇下游 23 英里（37 公里）（到 Melton Hill 大坝），以及埃默里下游 12 英里（19 公里）。
The plant, originally known as the Kingston Steam Plant, began operations in 1954, primarily to provide electricity to atomic energy installations at nearby Oak Ridge.	该工厂原名为 Kingston 蒸汽厂，于 1954 年开始运营，主要为附近 Oak Ridge 的原子能装置供电。
The plant contains nine units with a combined generating capacity of 1,398 megawatts, and burns about 14,000 tonnes (14,000,000 kg) of coal every day.	该厂有 9 台机组，总发电量为 1,398 兆瓦，每天燃烧约 14,000 吨（14,000,000 公斤）煤。
The plant's ash pond disposal area is located immediately north of the plant along the Emory River shore.	该厂的灰场处理区位于工厂北边的埃默里河岸边。
The ash pond, which was impounded by a dike that rose 60 feet (18 m) above the winter level and 741 feet (226 m) above sea level, contained a watery slurry of fly ash generated by the burning of finely ground coal at the power plant.	灰场由比冬季水位 60 英尺（18 米）高和海平面以上 741 英尺（226 米）的堤坝蓄水，里面有发电厂燃烧细碎煤炭所产生的水状飞灰浆。
Fly ash is the fine particulate pollutants produced by the combustion of coal, which are collected rather than allowing them to escape into the atmosphere, then mixed with water and pumped into a retaining pond, where the ash gradually settles to the bottom.	飞灰是煤炭燃烧产生的细粒污染物，它们会被收集起来，不会让它们逃逸到大气中，然后与水混合并泵入蓄水池，在那里煤灰逐渐沉淀到底部。
Once the particulate matter settles out, it is dredged and moved to drying cells.	颗粒物质沉淀后，就会被挖出并移至干燥室。
The 84-acre (0.34 km²) unlined above-ground dredge cell was surrounded by 60-foot (18 m) tall earthen dikes.	占地 84 英亩（0.34 平方公里）的无衬里地上疏浚室由 60 英尺（18 米）高的土堤包围。
The dike breach occurred at the northwest corner of the dewatering pond, overlooking the Swan Pond Creek spillway.	堤坝决口发生在脱水池的西北角，俯瞰 Swan Pond Creek 的泄洪道。
TVA had reportedly known about the dangers of using wet storage ponds for coal ash since a 1969 spill in Virginia in which coal ash seeped into the Clinch River and killed countless fish.	据报道，自从 1969 年弗吉尼亚州发生煤灰泄露事件，煤灰渗入克林奇河并导致无数鱼类死亡后，TVA 就知道了使用湿式储存池处理煤灰的危险性。
In the 1980s, TVA engineers raised concerns about the stability of ash ponds.	在 20 世纪 80 年代，TVA 的工程师提出了对灰池稳定性的担忧。
The utility repeatedly found leaks in levees and seepage in the soil at many of their ash ponds, including the ones at Kingston.	该电厂多次发现他们许多灰场的堤坝泄露并渗入土壤，其中就包括 Kingston 的灰场。
However, TVA continued to make small repairs instead of switch to dry storage systems which would have cost ratepayers tens of millions.	然而，TVA 继续进行小规模维修，而不是改用原本会耗费纳税人数千万美元的干式储存系统。
At the time of the disaster, TVA was using wet storage at six of their 11 coal-fired power plants.	在灾难发生时，TVA 旗下 11 家煤电厂中有 6 家在使用湿式储存。
Leaks at the Kingston ash ponds had reportedly been taking place since the early 1980s, and local residents said that the spill was not a unique occurrence.	据报道，自 20 世纪 80 年代初以来，Kingston 灰场一直在发生泄露，当地居民称，这次泄露并非特例。
The 1960s-era pond had been observed leaking and being repaired nearly every year since 2001.	自 2001 年以来，这个上世纪 60 年代的灰场几乎每年都发生泄露和修理。
The two worst leaks occurred in 2003 and 2006 in which TVA suspended all ash deposits in the ponds to allow the dredge cells to dry out and stabilize.	两次最严重的泄露发生在 2003 年和 2006 年，当时 TVA 暂停了灰场中的所有煤灰沉积以使疏浚室干燥并稳定下来。
An October 2008 inspection report had identified a "minor leak" in the faulty wall, but the report was not finalized.	2008 年 10 月的一份检查报告中认定故障墙体有“轻微泄露”，但并未最终敲定该报告。
The spill began sometime between midnight and 1 a.m.	泄露开始于午夜和凌晨 1 点之间的某个时间。
In January 1973 Young was made Chief of the Space Shuttle Branch of the Astronaut Office.	1973 年 1 月，Young 被任命为宇航员办公室航天飞机处处长。
In January 1974, he became Chief of the Astronaut Office after the retirement of Alan Shepard.	1974 年 1 月，在 Alan Shepard 退休后，他成为宇航员办公室主任。
Young flew two missions of the Space Shuttle, both aboard the Space Shuttle Columbia.	Young 执行了两次航天飞机的飞行任务，两次任务都在哥伦比亚号航天飞机上进行。
He commanded the program's 1981 maiden orbital flight, STS-1, and in 1983 commanded STS-9, which carried the first Spacelab module.	他指挥了该计划在 1981 年的首次轨道飞行 STS-1，并在 1983 年指挥 搭载了第一个太空实验室模块的 STS-9。
In 1986 he was in line to make a record seventh space flight on STS-61-J to deploy the Hubble Space Telescope, but the Space Shuttle Challenger disaster earlier that year had delayed NASA's schedule.	1986 年，他准备在 STS-61-J 上进行创纪录的第七次太空飞行，部署哈勃太空望远镜，但该年早些时候的挑战者号航天飞机灾难推迟了美国航空航天局的计划。
Young was openly critical of NASA management following the Challenger disaster, and in April 1987 was made Special Assistant to JSC Director Aaron Cohen for Engineering, Operations and Safety.	在挑战者号航天飞机灾难发生后，Young 公开批评美国航空航天局管理层，并于 1987 年 4 月被任命为 JSC 主任 Aaron Cohen 的工程、运营和安全特别助理。
NASA denied that his criticism triggered the move, although Young and industry insiders believed that was the reason for the reassignment.	尽管美国航空航天局否认他的批评引发了这一举动，不过 Young 和业内人士认为这是他被调任的原因。
In February 1996, he was assigned as Associate Director (Technical) JSC.	1996 年 2 月，他被任命为 JSC 副主任（技术）。
During his NASA career, Young logged more than 15,000 hours of training, mostly in simulators, to prepare for positions on eleven spaceflights in prime and backup crew positions.	Young 在美国航空航天局的职业生涯中，进行了超过 15,000 小时的训练，大部分在模拟器中进行，为 11 次太空飞行的主要和后备乘员位置做准备。
Young worked for NASA for 42 years and announced his retirement on December 7, 2004.	Young 为美国航空航天局工作了 42 年，于 2004 年 12 月 7 日宣布退休。
He retired on December 31, 2004, at the age of 74, but continued to attend the Monday Morning Meeting at the Astronaut Office at JSC for several years thereafter.	他于 2004 年 12 月 31 日退休，时年 74 岁，但此后数年继续参加在 JSC 宇航员办公室举行的周一早会。
He logged more than 15,275 hours flying time in props, jets, helicopters, and rocket jets; more than 9,200 hours in T-38s; and 835 hours in spacecraft during six space flights.	他在道具、喷气机、直升机和火箭喷气机上的飞行时间超过 15,275 小时；在 T-38 飞机上的飞行时间超过 9,200 小时；六次太空飞行中在航天器上飞行了 835 小时。
On April 12, 2006, Young appeared at the 25th anniversary of the STS-1 launch at the Kennedy Space Center Visitor Complex, along with pilot Robert Crippen.	2006 年 4 月 12 日，Young 亮相肯尼迪航天中心参观园区的 STS-1 发射 25 周年纪念会，一同出现的还有飞行员 Robert Crippen。
The two spoke of their experiences during the flight.	两人谈到了他们在飞行中的经历。
In 2012, Young published an autobiography, Forever Young.	2012 年，Young 出版了一本自传《永远的 Young》。
Young married Barbara White of Savannah, Georgia, and they had two children, Sandra and John.	Young 与佐治亚州 Savannah 的 Barbara White 结婚，生育了 Sandra 和 John 两个孩子。
They were divorced in 1972 after 16 years of marriage.	结婚 16 年后，他们于 1972 年离婚。
He later married Susy Feldman, and lived in El Lago, Texas, a suburb of Houston.	后来他与 Susy Feldman 结婚，住在德克萨斯州的 El Lago，位于休斯顿的郊区。
Young died on January 5, 2018, at his home in Houston of complications from pneumonia.	2018 年 1 月 5 日，Young 在休斯顿的家中因肺炎并发症去世。
He was 87.	享年 87 岁。
Abbotsford Bridge is a steel Allan truss bridge that is about 240 m (790 ft) in length.	Abbotsford 大桥是一座钢制艾伦桁架桥，全长约 240 米（790 英尺）。
The bridge also contains a single lift span about 20 m (66 ft) in length, which is still in working order.	该桥还有一个长约 20 米（66 英尺）的升降式桥孔，该桥孔仍处于工作状态。
It is two lanes wide through most of its length, but the lift span is only capable of carrying a single lane.	它的大部分长度为双车道，但升降式桥孔只能承载单车道。
The entire bridge has been marked with a single lane and has traffic lights on both ends to control vehicular flow.	整座桥被标为单车道，两端都有交通灯来控制车流量。
The bridge was completed in 1928 by the NSW Department of Public Works and, although opened as a traffic bridge, it was designed to carry the loads required for a railway, once the Mildura railway line had been extended over the bridge.	该桥于 1928 年由新南威尔士州公共工程部完成，虽然是作为交通桥开放，但在 Mildura 铁路线延伸过这座桥后，它被设计为承载铁路所需的负荷。
The line was never extended beyond Yelta, where the terminus remains to this day.	这条线路从未延伸到 Yelta 之外，那里的终点站至今仍在。
The location of the bridge was thought to be convenient, as it provided a link to the Sturt Highway without travelling farther upstream to Mildura.	这座桥的位置便利，因为它提供了连接 Sturt 公路的通道，不用再往上游的 Mildura 行进。
It is the only remaining steel truss bridge with a lift span on the Murray, although other lifting bridges still exist along the river.	这是 Murray 河上仅存的一座有升降式桥孔的钢桁架桥，不过沿河仍有其它升降桥。
The bridge was built after the decline in commercial river traffic on the Murray.	这座桥是在 Murray 河的商业河道交通衰退后建造的。
Due to its significance to the local area, it has been listed on the NSW State Heritage Register.	鉴于它对当地的重要性，它已被载入新南威尔士州遗产名录。
The nearby town of Wentworth was an important river port from which wool was shipped to the coast, and as such there was a variety of traffic in the area.	附近的 Wentworth 镇是一个重要的河港，羊毛从这里运往海岸，因此该地区交通便利。
In the 1890s, irrigated farming greatly expanded in Sunraysia region which is known for its fruit production, and traffic volumes increased further.	19 世纪 90 年代，以水果生产闻名的 Sunraysia 地区的灌溉农业大大扩张，交通量进一步增加。
It was decided to install a punt at this location (then known as Abbot's Ford).	人们决定在这个地方（当时称为 Abbot's Ford）安装一个船坞。
New South Wales and Victoria had signed an agreement towards constructing bridges for railways over the Murray to serve the settlements on the northern side.	新南威尔士州和维多利亚州签署了一项协议，将为 Murray 河上的铁路建造桥梁，来服务北侧的村落。
In 1923, a report was released that recommended going ahead with the building of four bridges, one of those being the future Abbotsford Bridge.	1923 年，在发布的一份报告中，建议继续建造四座桥梁，其中一座就是后来的 Abbotsford 大桥。
It was said a bridge in this area would benefit Curlwaa, Wentworth, and a proposed irrigation scheme to the north.	据称，在这个地区建桥将有利于 Curlwaa、Wentworth 和一项拟议的北部灌溉计划。
The cost was estimated at £78,000.	费用估计为 78,000 英镑。
It had been considered that it might be appropriate to combine these four bridges with locks, but this idea was rejected due to siting concerns.	有人认为也许可以将这四座桥与水闸结合起来，但由于选址问题，这个想法被拒绝。
In 1924, residents of nearby settlements urged construction of the railway line to the proposed bridge site, but they were told this extension of the line was to be delayed.	1924 年，附近村落的居民敦促将铁路线修建到拟议的桥址，但他们被告知铁路线延伸将被推迟。
Within that year it was decided that a bridge was to be constructed due to increased traffic volume, and tenders were let for manufacture of the bridge spans, construction of abutments and piles, and transport of materials to the future construction site.	同年，由于交通量增加，决定建造一座桥，并对桥孔的制造、桥墩和桩基的建造以及对日后工地的材料运输进行了招标。
Achebe expanded this criticism when he presented a Chancellor's Lecture at Amherst on 18 February 1975, 'An Image of Africa: Racism in Conrad's "Heart of Darkness"'.	1975 年 2 月 18 日，Achebe 在阿莫斯特发表了题为“非洲的形象 - 康拉德《黑暗之心》中的种族主义”的校长讲座，扩大了这种批评。
Decrying Joseph Conrad as "a bloody racist", Achebe asserted that Conrad's famous novel dehumanises Africans, rendering Africa as "a metaphysical battlefield devoid of all recognisable humanity, into which the wandering European enters at his peril."	Achebe 谴责约瑟夫康拉德是“血腥的种族主义者”，断言康拉德的名著将非洲人非人化，将非洲描绘为“一个没有任何可承认的人性的形而上的战场，彷徨的欧洲人进入这个战场会有危险”。
Achebe also discussed a quotation from Albert Schweitzer, a 1952 Nobel Peace Prize laureate: "That extraordinary missionary, Albert Schweitzer, who sacrificed brilliant careers in music and theology in Europe for a life of service to Africans in much the same area as Conrad writes about, epitomizes the ambivalence.	Achebe 还讨论了 1952 年诺贝尔和平奖得主 Albert Schweitzer 的一段话：“那个非凡的传教士 Albert Schweitzer 牺牲了在欧洲的音乐和神学造诣，在康拉德笔下的同一地区为非洲人服务，他是这种矛盾心里的缩影。”
In a comment which has often been quoted Schweitzer says: 'The African is indeed my brother but my junior brother.' And so he proceeded to build a hospital appropriate to the needs of junior brothers with standards of hygiene reminiscent of medical practice in the days before the germ theory of disease came into being." Some were surprised that Achebe would challenge a man honoured in the West for his "reverence for life".	在一段经常被引用的评论中，Schweitzer 说道：“非洲人确实是我的兄弟，但却是我的小弟。”于是他着手建造一所适合小弟需求的医院，其卫生标准不免让人想起病原菌学说出现前的医疗实践。”一些人对 Achebe 质疑一个在西方因“敬畏生命”而受到尊敬的人而感到吃惊。
The lecture caused a storm of controversy, even at the reception immediately following his talk.	这次演讲引起了一场争议风暴，甚至在他演讲之后的招待会上也是如此。
Many English professors in attendance were upset by his remarks; one elderly professor reportedly approached him, said: "How dare you!", and stormed away.	许多与会的英语教授对他的言论感到不满；据报道，一位年长的教授走到他面前，说：“你怎么敢！”，然后冲了出去。
Another suggested that Achebe had "no sense of humour", but several days later Achebe was approached by a third professor, who told him: "I now realize that I had never really read Heart of Darkness although I have taught it for years." Although the lecture angered many of his colleagues, he was nevertheless presented later in 1975 with an honorary doctorate from the University of Stirling and the Lotus Prize for Afro-Asian Writers.	另一位教授认为 Achebe“没有幽默感”，但几天后，第三位教授找到了 Achebe，告诉他：“我现在意识到，尽管我已经教了《黑暗之心》很多年，但我从来没有真正读懂过它。”虽然这次演讲激怒了他的许多同事，但他还是在 1975 年被授予斯特林大学荣誉博士学位和亚非拉作家莲花奖。
The first comprehensive rebuttal of Achebe's critique was published in 1983 by British critic Cedric Watts.	1983 年，英国批评家 Cedric Watts 发表了对 Achebe 的批判的第一次全面反驳。
His essay "A Bloody Racist: About Achebe's View of Conrad" defends Heart of Darkness as an anti-imperialist novel, suggesting that "part of its greatness lies in the power of its criticisms of racial prejudice." Palestinian–American theorist Edward Said agreed in his book Culture and Imperialism that Conrad criticised imperialism, but added: "As a creature of his time, Conrad could not grant the natives their freedom, despite his severe critique of the imperialism that enslaved them".	他的文章“血腥的种族主义者：关于 Achebe 对康拉德的看法”为《黑暗之心》辩护，认为它是一部反帝国主义的小说，暗示“它的伟大之处在于它对种族偏见的批评的力量。”巴勒斯坦裔美国理论家 Edward Said 在他的《文化与帝国主义》一书中同意康拉德批判了帝国主义，但他补充道：“作为他那个时代的产物，康拉德不能给予当地人自由，尽管他对奴役他们的帝国主义进行了严厉的批判。”
Building on Watts and Said, Nidesh Lawtoo argued that "underneath the first layer of straightforward opposition ... we find an underlying mimetic continuity between Conrad's colonial image of Africa [in Heart of Darkness] and Achebe's postcolonial representation" in Things Fall Apart.	在 Watts 和 Said 的基础上，Nidesh Lawtoo 认为，“在第一层直截了当的对立之下...我们发现康拉德[在《黑暗之心》中]的非洲殖民形象与 Achebe 在《瓦解》中的后殖民表现之间有一种潜在的模仿连续性。
Achebe's criticism has become a mainstream perspective on Conrad's work.	Achebe 的批判已经成为研究康拉德作品的主流观点。
The essay was included in the 1988 Norton critical edition of Conrad's novel.	这篇文章被收录在 1988 年诺顿批判版的康拉德小说中。
Editor Robert Kimbrough called it one of "the three most important events in Heart of Darkness criticism since the second edition of his book ..." Critic Nicolas Tredell divides Conrad criticism "into two epochal phases: before and after Achebe." Asked frequently about his essay, Achebe once explained that he never meant for the work to be abandoned: "It's not in my nature to talk about banning books.	编辑 Robert Kimbrough 称其为“自《黑暗之心》第二版以来对其批判的三大最重要事件之一……”，评论家 Nicolas Tredell 将康拉德批判“分为两个划时代的阶段：Achebe 之前和 Achebe 之后。”在人们经常问及他的文章时，Achebe 曾解释说他从未想过放弃这部作品：“谈论禁书并非我的本性。
I am saying, read it – with the kind of understanding and with the knowledge I talk about.	我说的是，带着我说的那种理解和知识去阅读。
And read it beside African works." Interviewed on National Public Radio with Robert Siegel, in October 2009, Achebe remains consistent, although tempering this criticism in a discussion entitled "'Heart of Darkness' is inappropriate": "Conrad was a seductive writer.	并且要连同非洲作品一起阅读。”2009 年 10 月，Achebe 在国家公共广播电台接受了 Robert Siegel 的采访，尽管在题为“《黑暗之心》不妥”的讨论中缓和了这种批判，但仍然保持一致。“康拉德是一位有魅力的作家。
He could pull his reader into the fray.	他可以把他的读者拉到战场。
And if it were not for what he said about me and my people, I would probably be thinking only of that seduction."	如果不是因为他对我和我的人民所说的话，我可能只会想到这种魅力。”
When he returned to the University of Nigeria in 1976, he hoped to accomplish three goals: finish the novel he had been writing, renew the native publication of Okike, and further his study of Igbo culture.	1976 年回到尼日利亚大学时，他希望达成三个目标：完成他一直写作的小说，更新本土出版物《奥基凯》，并进一步研究伊博文化。
He also showed that he would not restrict his criticism to European targets.	他还表明，他批判的对象并不局限于欧洲。
In an August 1976 interview, he lashed out at the archetypal Nigerian intellectual, who is divorced from the intellect "but for two things: status and stomach.	在 1976 年 8 月的一次采访中，他抨击了典型的尼日利亚知识分子，他们与智力脱节，“只为两点：地位和胃口。
On August 3, 2011, contestants Ricky Jaime and Sasha Mallory danced to "Schoolin Life" in Top 6 Perform round of the eighth season of the American television reality program and dance competition So You Think You Can Dance.	2011 年 8 月 3 日，在美国电视真人秀节目和舞蹈比赛《舞林争霸》第八季的 6 强表演赛中，参赛者 Ricky Jaime 和 Sasha Mallory 跳了“在校生活”。
Their dance performance was choreographed by Kumari Suraj.	他们的舞蹈表演由 Kumari Suraj 编舞。
Gwen Orel of The Wall Street Journal further described their performance during a review of that episode of the show: "He's in a fedora, and she's got a cute short swingy sheer skirt, with thigh high stockings and a garter belt, and a sheer purple blouse.	《华尔街日报》的 Gwen Orel 在对该节目那一集的评论中进一步描述了他们的表演：“他戴着宽沿绅士帽，她穿着可爱的短款摆动式薄纱裙，高筒袜和袜带，还有透明的紫色上衣。
I don’t get what this style really is, it seems to have a lot of arm movements, and some crouching jumps.	我不知道这种风格到底是什么，它似乎有许多手臂动作，还有一些蹲跳。
He doesn’t look quite sharp enough next to her.	他在她旁边看起来还不够犀利。
His split leap is phenomenal."	他的劈叉跳很惊人。”
The base slab, or pylon, of the tomb monument rests on a 38-centimetre (15 in) high plinth, separated by a cornice and concave mouldings.	墓碑的底板也叫塔台，位于 38 厘米（15 英寸）高的底座上，由檐口和凹模隔开。
The pylon is 1.39 metres (4.56 ft) high and 2.02 metres (6.63 ft) wide, decorated with a frieze of winged angel heads (perhaps seraphim) and garlands and ribbons.	塔台高 1.39 米（4.56 英尺），宽 2.02 米（6.63 英尺），装饰有带翅膀的天使头像（可能是六翼天使）和花环及缎带。
Above the pylon, separated by the cornice, are the three Virtues—from left to right, Faith, Charity, and Hope—in shell niches, separated by four Corinthian fluted pilasters.	塔台上方是由檐口隔开的三个美德 - 贝壳壁龛中从左到右是信仰、慈悲和希望，由四个柯林斯式的凹槽壁柱隔开。
Such a motif is unprecedented in Tuscan funerary sculpture but found at this date in Venice, Padua, and especially Cossa's native Naples.	这样的装饰图案在托斯卡纳的墓葬雕塑中前所未有，但在威尼斯、帕多瓦，特别是 Cossa 的故乡那不勒斯都能找到。
As a result, excursions to Venice have been suggested for both Michelozzo and Donatello.	因此，有人建议米开朗琪罗和多纳泰罗去威尼斯考察。
However, Janson suggests that one "need not go all the way to Venice" to find such motifs.	然而，Janson 建议，“不必去往威尼斯”就能找到这样的装饰图案。
Outside Florence, Virtues were common on tombs, with the cardinal Virtues used for laymen, and the theological virtues reserved for ecclesiastics, including the Brancaccio tomb.	在佛罗伦萨以外的地方，墓葬上的美德很常见，红衣主教的美德用于普通教徒，而神学美德留给教会人士，包括 Brancaccio 的墓。
However, the Cossa Virtues, from their hair to their sandals, are more thoroughly antique.	然而，Cossa 美德从他们的头发到他们的凉鞋，都更加彻底地古香古色。
Donatello also produced two similar bronze Virtues for the Siena Baptistry, whose chronological relationship to the Cossa Virtues is unclear.	多纳泰罗还为锡耶纳洗礼堂制作了两件类似的铜制美德，与 Cossa 美德的时间关系尚不清楚。
The 1.05-metre (3.44 ft) tall Faith, to the right of Charity, is holding a Eucharistic chalice; the 1.07-metre (3.51 ft) tall Charity is holding a cornucopia and a brazier (or flaming vase); and the 1.06-metre (3.48 ft) tall Hope, to the left of Charity, has hands clasped in prayer.	“慈悲”的右边是“信仰”，高 1.05  米（3.44 英尺），手持圣餐杯；“慈悲”高 1.07 米（3.51 英尺），手持聚宝盆和火盆（或火焰瓶）；“希望”位于“慈悲”左侧，高 1.06 米（3.48 英尺），双手合十祈祷。
The central figure of Charity is the most antique, assimilating elements of Classical depictions of Abundantia, Ceres, and Juno, all of which were depicted with cornucopias in their left hands.	“慈悲”的中心人物最古老，吸收了对 Abundantia、Ceres 和 Juno 的古典描绘元素，所有这些人都被描绘为左手拿着聚宝盆。
Besides underscoring the antiquity of the tomb monument, the main purpose of the tall yet poorly finished Virtues is to put additional vertical distance between the viewer and the effigy, which has the cumulative effect of de-emphasizing the peculiarities of Cossa, in favor of a generic pontiff (i.e. a potential line of Florentine popes), by blunting the "immediacy" of the trope of lying in state, which was otherwise dominant on Quattrocento wall tombs.	除了强调墓碑的古老性之外，高大但完成度不高的美德的主要目的是增加观者与雕像之间的垂直距离，它具有一种不予强调 Cossa 特性的累积效应，即通过减弱公众瞻仰的“直接性”，有利于普通教皇（即潜在的一系列佛罗伦萨教皇），而这种特质在 Quattrocento 墙上墓葬中占据主导地位。
On top of the sarcophagus, the bier of the effigy is supported by lions whose shape mimics Trecento consoles.	在石棺的顶部，雕像的棺材由形状模仿 Trecento 桌台的狮子支撑。
The lions may be based on the Florentine Marzocco, as if to mark John XXIII in the same manner as a conquered city-state.	这些狮子可能以佛罗伦萨的 Marzocco 为根据，仿佛是以被征服的城邦相同的方式来纪念约翰二十三世。
As Donatello's Marzocco for the papal apartment in Santa Maria Novella conveyed Florence's ambivalence towards Martin V (as both a source of prestige by visiting, and a potential adversary of the Republic), the lions supporting the bier contextualize the tomb monument's support for John XXIII's claim to the papacy by cementing it as a Florentine claim.	正如多纳泰罗为新圣母大殿所写的 Marzocco 传达了佛罗伦萨对马丁五世的矛盾态度（既是通过访问获得声望来源，又是共和国的潜在对手），支撑棺材的狮子使得墓碑支持约翰二十三世教皇地位的背景得以巩固，因而成为佛罗伦萨的主张。
Yet, any iconographical interpretation of the lions must be taken with a grain of salt as lions are symbolically promiscuous, and are also seen as supports on earlier tombs, such as that of Lapo de' Bardi (d. 1342) in the Bargello.	然而，对狮子的任何图像学解释都必须谨慎对待，因为狮子象征着混乱，并且在早期坟墓上也视为支撑物，例如 Bargello 的 Lapo de' Bardi（卒于 1342 年）。
