There were varying degrees of Romanization throughout Roman Dacia.	Havia vários graus de romanização na Dácia Romana.
These Dalmatian miners were kept in sheltered communities (Vicus Pirustarum) and were under the jurisdiction of their own tribal leadership (with individual leaders referred to as princeps).	Estes mineiros dálmatas eram mantidos em comunidades protegidas (Vicus Pirustarum) e encontravam-se sob a liderança da sua própria tribo (na qual os líderes individuais eram referidos como prínceps).
An estimated 50,000 troops were stationed in Dacia at its height.	No seu auge, estavam estacionadas na Dácia 50 000 soldados.
At the close of Trajan's first campaign in Dacia in 102, he stationed one legion at Sarmizegetusa Regia.	No final da primeira campanha de Trajano na Dácia em 102, este estacionou uma legião em Sarmizegetusa Regia.
With the conclusion of Trajan's conquest of Dacia, he stationed at least two legions in the new province – the Legio IV Flavia Felix positioned at Berzobis, and the Legio XIII Gemina stationed at Apulum.	Tendo Trajano conquistado a Dácia, estacionou pelo menos duas legiões na nova província – a Legio IV Flavia Felix, posicionada em Bersobis, e a Legio XIII Gemina, estacionada em Apulum.
It has been conjectured that there was a third legion stationed in Dacia at the same time, the Legio I Adiutrix.	Acredita-se que, em simultâneo, havia uma terceira legião na Dácia, a Legio I Adiutrix.
However, there is no evidence to indicate when or where it was stationed, and it is unclear whether the legion was fully present, or whether it was only the vexillationes who were stationed in the province.	No entanto, não existem provas que indicam quando ou onde estava estacionada, e existem incertezas quanto à presença da legião completa ou se eram apenas as vexillationes que se encontravam estacionadas na província.
Hadrian, the subsequent emperor, shifted the fourth legion (Legio IV Flavia Felix) from Berzobis to Singidunum in Moesia Superior, suggesting that Hadrian believed the presence of one legion in Dacia would be sufficient to ensure the security of the province.	Adriano, o imperador seguinte, deslocou a quarta legião (Legio IV Flavia Felix) de Bersobis para Singiduno, na Mésia Superior, sugerindo que Adriano acreditava que a presença de uma legião na Dácia seria suficiente para garantir a segurança da província.
The Marcomannic Wars that erupted north of the Danube forced Marcus Aurelius to reverse this policy, permanently transferring the Legio V Macedonica from Troesmis (modern Iglița in Romania) in Moesia Inferior to Potaissa in Dacia.	As Guerras Marcomanas que eclodiram a norte do Danúbio forçaram Marco Aurélio a inverter esta política, ao transferir permanentemente a Legio V Macedonica de Troesmis (atual Iglita na Roménia) na Mésia Inferior para Potaissa na Dácia.
The Kingston Fossil Plant is located on a peninsula at the junction of the Emory River (to the north) and Clinch River (to the south and east), just over 4 miles (6.4 km) upstream from the latter's mouth along the Tennessee River.	A plataforma petrolífera de Kingston está localizada numa península na junção do rio Emory (a norte) e do rio Clinch (a sul e a este), a apenas 4 milhas (6,4 km) a montante da foz deste último, ao longo do rio Tennessee.
Watts Bar Dam, located along the Tennessee 38 miles (61 km) downstream from the mouth of the Clinch, impounds a reservoir (Watts Bar Lake) that spans a 72-mile (116 km) stretch of the Tennessee (to Fort Loudoun Dam), the lower 23 miles (37 km) of the Clinch (to Melton Hill Dam), and the lower 12 miles (19 km) of the Emory.	A barragem de Watts Bar, localizada ao longo das 38 milhas (61 km) do Tennessee, a jusante da foz do Clinch, represa um reservatório de água (lago Watts Bar) que se estende ao longo de um troço de 72 milhas (116 km) do Tennessee (até à barragem de Fort Loudon), de 23 milhas (37 km) a jusante do Clinch (até à barragem de Melton Hill) e de 12 milhas (19 km) a jusante do Emory.
The plant, originally known as the Kingston Steam Plant, began operations in 1954, primarily to provide electricity to atomic energy installations at nearby Oak Ridge.	A plataforma, originalmente conhecida como "Central de vapor de Kingston", iniciou operações em 1954, principalmente para fornecer eletricidade a instalações de energia atómica próximas, localizadas em Oak Ridge.
The plant contains nine units with a combined generating capacity of 1,398 megawatts, and burns about 14,000 tonnes (14,000,000 kg) of coal every day.	A plataforma contém nove unidades com uma capacidade de produção combinada de 1398 megawatt, e consome cerca de 14 000 toneladas (14 000 000 kg) de carvão todos os dias.
The plant's ash pond disposal area is located immediately north of the plant along the Emory River shore.	A área de evacuação da bacia de cinzas da plataforma está localizada imediatamente a norte da plataforma, ao longo das margens do rio Emory.
The ash pond, which was impounded by a dike that rose 60 feet (18 m) above the winter level and 741 feet (226 m) above sea level, contained a watery slurry of fly ash generated by the burning of finely ground coal at the power plant.	A bacia de cinzas, represada por um dique que se eleva a 60 pés (18 m) acima do nível invernal e a 741 pés (226) acima do nível do mar, continha água lamacenta com cinzas volantes geradas pela queima de carvão moído na plataforma.
Fly ash is the fine particulate pollutants produced by the combustion of coal, which are collected rather than allowing them to escape into the atmosphere, then mixed with water and pumped into a retaining pond, where the ash gradually settles to the bottom.	Cinzas volantes são poluentes de partículas finas produzidos pela combustão de carvão, os quais são recolhidos para que não escapem para a atmosfera, sendo posteriormente misturados com água e bombeados para uma bacia de retenção, onde as cinzas sedimentam gradualmente no fundo.
Once the particulate matter settles out, it is dredged and moved to drying cells.	Após o material particulado sedimentar, este é dragado e movido para células de secagem.
The 84-acre (0.34 km²) unlined above-ground dredge cell was surrounded by 60-foot (18 m) tall earthen dikes.	As células de dragagem aéreas não revestidas, que se estendem ao longo de 84 acres (0,34 km²), foram rodeadas por diques de terra com 60 pés (18 m) de altura.
The dike breach occurred at the northwest corner of the dewatering pond, overlooking the Swan Pond Creek spillway.	A rutura do dique ocorreu na extremidade a noroeste da bacia de drenagem, passando pelo escoadouro do Swan Pond Creek.
TVA had reportedly known about the dangers of using wet storage ponds for coal ash since a 1969 spill in Virginia in which coal ash seeped into the Clinch River and killed countless fish.	A TVA conhecia alegadamente os perigos da utilização de bacias de armazenamento em meios húmidos para cinzas de carvão desde um derrame ocorrido em 1969 em Virgínia, no qual cinzas de carvão escoaram para o rio Clinch e mataram inúmeros peixes.
In the 1980s, TVA engineers raised concerns about the stability of ash ponds.	Nos anos 80, os engenheiros da TVA manifestaram preocupações em relação à estabilidade das bacias de cinzas.
The utility repeatedly found leaks in levees and seepage in the soil at many of their ash ponds, including the ones at Kingston.	Repetidamente, a empresa encontrou fugas em diques e infiltrações no solo de muitas das suas bacias de cinzas, incluindo nas de Kingston.
However, TVA continued to make small repairs instead of switch to dry storage systems which would have cost ratepayers tens of millions.	No entanto, a TVA continuou a realizar pequenas reparações em vez de adotar sistemas de armazenamento a seco, o que custou aos contribuintes dezenas de milhões.
At the time of the disaster, TVA was using wet storage at six of their 11 coal-fired power plants.	No momento do desastre, a TVA utilizava armazenamentos em meios húmidos em seis das suas 11 centrais a carvão.
Leaks at the Kingston ash ponds had reportedly been taking place since the early 1980s, and local residents said that the spill was not a unique occurrence.	As fugas nas bacias de cinzas de Kingston encontravam-se alegadamente em funcionamento desde o início dos anos 80, e os residentes locais diziam que os derrames não eram um acontecimento isolado.
The 1960s-era pond had been observed leaking and being repaired nearly every year since 2001.	Verificou-se que as fugas das bacias dos anos 60 foram reparadas quase todos os anos desde 2001.
The two worst leaks occurred in 2003 and 2006 in which TVA suspended all ash deposits in the ponds to allow the dredge cells to dry out and stabilize.	As duas fugas mais graves ocorreram em 2003 e em 2006, tendo a TVA suspendido todos os depósitos de cinzas nas bacias para permitir que as células de dragarem secassem e estabilizassem.
An October 2008 inspection report had identified a "minor leak" in the faulty wall, but the report was not finalized.	Numa inspeção realizada em outubro de 2008 identificou-se uma "fuga menor" numa parede danificada, mas o relatório não foi concluído.
The spill began sometime between midnight and 1 a.m.	A fuga iniciou-se algures entre a meia noite e a uma da manhã.
In January 1973 Young was made Chief of the Space Shuttle Branch of the Astronaut Office.	Em janeiro de 1973, Young foi nomeado Chefe da Divisão de Vaivéns Espaciais do Departamento de Astronautas.
In January 1974, he became Chief of the Astronaut Office after the retirement of Alan Shepard.	Em janeiro de 1974, tornou-se Chefe do Departamento de Astronautas, após Alan Shepard se reformar.
Young flew two missions of the Space Shuttle, both aboard the Space Shuttle Columbia.	Young realizou duas missões em vaivéns espaciais, ambas a bordo do vaivém espacial Columbia.
He commanded the program's 1981 maiden orbital flight, STS-1, and in 1983 commanded STS-9, which carried the first Spacelab module.	Em 1981, comandou o primeiro voo orbital do programa, o STS-1, e, em 1983, comandou o STS-9, que incluía o primeiro módulo Spacelab.
In 1986 he was in line to make a record seventh space flight on STS-61-J to deploy the Hubble Space Telescope, but the Space Shuttle Challenger disaster earlier that year had delayed NASA's schedule.	Em 1986, estava preparado para bater recordes com a sua sétima viagem ao espaço, a bordo do STS-61-J, para posicionar o telescópio espacial Hubble, mas o desastre do vaivém espacial Challenger, mais cedo nesse ano, atrasou o programa da NASA.
Young was openly critical of NASA management following the Challenger disaster, and in April 1987 was made Special Assistant to JSC Director Aaron Cohen for Engineering, Operations and Safety.	Young criticou abertamente a gestão da NASA após o desastre do vaivém Challenger e, em abril de 1987, foi nomeado Assistente Especial do Diretor Aaron Cohen, no Departamento de Engenharia, Operações e Segurança da JSC.
NASA denied that his criticism triggered the move, although Young and industry insiders believed that was the reason for the reassignment.	A NASA negou que as criticas de Young tivessem contribuído para a mudança, embora o próprio e os especialistas da indústria acreditem que esta foi a razão da transferência.
In February 1996, he was assigned as Associate Director (Technical) JSC.	Em fevereiro de 1996, foi nomeado Diretor-Adjunto (técnico) da JSC.
During his NASA career, Young logged more than 15,000 hours of training, mostly in simulators, to prepare for positions on eleven spaceflights in prime and backup crew positions.	Durante a sua carreira na NASA, Young registou mais de 15 000 horas de formação, principalmente em simuladores, para se preparar para assumir posições em onze voos espaciais, como membro de tripulações principais e de reserva.
Young worked for NASA for 42 years and announced his retirement on December 7, 2004.	Young trabalhou para a NASA durante 42 anos e anunciou a sua reforma a 7 de dezembro de 2004.
He retired on December 31, 2004, at the age of 74, but continued to attend the Monday Morning Meeting at the Astronaut Office at JSC for several years thereafter.	Reformou-se a 31 de dezembro de 2004, aos 74 anos de idade, mas continuou a participar na Monday Morning Meeting do Departamento de Astronautas da JSC, durante vários anos após a sua reforma.
He logged more than 15,275 hours flying time in props, jets, helicopters, and rocket jets; more than 9,200 hours in T-38s; and 835 hours in spacecraft during six space flights.	Registou mais de 15 275 horas de voo em propulsores, jatos, helicópteros e foguetes; mais de 9200 horas em T-38s; e 835 horas em veículos espaciais durante seis voos espaciais.
On April 12, 2006, Young appeared at the 25th anniversary of the STS-1 launch at the Kennedy Space Center Visitor Complex, along with pilot Robert Crippen.	No dia 12 de abril de 2006, Young compareceu no 25.º aniversário do lançamento do STS-1, no Kennedy Space Center Visitor Complex, com o piloto Robert Crippen.
The two spoke of their experiences during the flight.	Ambos falaram das suas experiências durante o voo.
In 2012, Young published an autobiography, Forever Young.	Em 2012, Young publicou uma autobiografia intitulada "Forever Young".
Young married Barbara White of Savannah, Georgia, and they had two children, Sandra and John.	Young casou-se com Barbara White de Savannah, Geórgia, e tiveram dois filhos, Sandra e John.
They were divorced in 1972 after 16 years of marriage.	Divorciaram-se em 1972, após 16 anos de casamento.
He later married Susy Feldman, and lived in El Lago, Texas, a suburb of Houston.	Mais tarde, casou-se com Susy Feldman, e viveram em El Lago, Texas, um subúrbio de Houston.
Young died on January 5, 2018, at his home in Houston of complications from pneumonia.	Young morreu a 5 de janeiro de 2018, na sua casa em Houston, devido a complicações de uma pneumonia.
He was 87.	Tinha 87 anos.
Abbotsford Bridge is a steel Allan truss bridge that is about 240 m (790 ft) in length.	A Abbotsford Bridge é uma ponte Allan de viga triangulada, construída em aço, com cerca de 240 m (790 pés) de comprimento.
The bridge also contains a single lift span about 20 m (66 ft) in length, which is still in working order.	A ponte também inclui um tabuleiro móvel com cerca de 20 m (66 pés) de comprimento, que ainda se encontra em funcionamento.
It is two lanes wide through most of its length, but the lift span is only capable of carrying a single lane.	A maior parte do seu comprimento é ocupada por duas faixas, mas o tabuleiro móvel inclui apenas uma única faixa.
The entire bridge has been marked with a single lane and has traffic lights on both ends to control vehicular flow.	A sinalização na integralidade da ponte indica que esta tem apenas uma faixa, e a ponte possui semáforos em ambas as extremidades para controlar a circulação de veículos. 
The bridge was completed in 1928 by the NSW Department of Public Works and, although opened as a traffic bridge, it was designed to carry the loads required for a railway, once the Mildura railway line had been extended over the bridge.	A construção da ponte foi concluída em 1928 pelo Departamento de Obras Públicas de NSW e, embora tenha sido inaugurada enquanto ponte rodoviária, a ponte foi projetada para o transporte de cargas em linhas férias, após a extensão da linha férrea de Mildura sobre a ponte.
The line was never extended beyond Yelta, where the terminus remains to this day.	A linha nunca foi estendida para além de Yelta, onde se encontra a estação terminal até aos dias de hoje.
The location of the bridge was thought to be convenient, as it provided a link to the Sturt Highway without travelling farther upstream to Mildura.	A localização da ponte foi considerada conveniente, uma vez que oferecia uma ligação para a Sturt Highway, sem ser necessário viajar a montante até Mildura.
It is the only remaining steel truss bridge with a lift span on the Murray, although other lifting bridges still exist along the river.	Esta é a única ponte de viga triangulada com tabuleiro móvel, construída em aço, que resta no rio Murray, embora ainda existam outras pontes levadiças ao longo do mesmo rio.
The bridge was built after the decline in commercial river traffic on the Murray.	A ponte foi construída após o declínio do tráfego comercial fluvial no rio Murray.
Due to its significance to the local area, it has been listed on the NSW State Heritage Register.	Devido ao seu significado para a área local, foi incluída no NSW State Heritage Register.
The nearby town of Wentworth was an important river port from which wool was shipped to the coast, and as such there was a variety of traffic in the area.	Wentworth era uma cidade vizinha que possuía um porto fluvial importante, a partir do qual a lã era enviada para a costa, e, como tal, existia um grande tráfego nessa área.
In the 1890s, irrigated farming greatly expanded in Sunraysia region which is known for its fruit production, and traffic volumes increased further.	Nos anos 80, a exploração de regadio expandiu grandemente na região de Sunraysia, conhecida pela produção de frutos, e os volumes de tráfego aumentaram ainda mais.
It was decided to install a punt at this location (then known as Abbot's Ford).	Decidiu-se instalar um barco de fundo chato nesta localização (conhecido, na altura, como Abbot's Ford).
New South Wales and Victoria had signed an agreement towards constructing bridges for railways over the Murray to serve the settlements on the northern side.	New South Wales e Victoria assinaram um acordo com vista à construção de pontes para linhas férreas no rio Murray, para servirem as povoações no lado norte.
In 1923, a report was released that recommended going ahead with the building of four bridges, one of those being the future Abbotsford Bridge.	Em 1923, foi divulgado um relatório que recomendava o avanço da construção de quatro pontes, sendo uma delas a futura Abbotsford Bridge.
It was said a bridge in this area would benefit Curlwaa, Wentworth, and a proposed irrigation scheme to the north.	Referiu-se que uma ponte nesta área beneficiaria Curlwaa, Wentworth, e um esquema de irrigação proposto no norte.
The cost was estimated at £78,000.	O custo foi estimado a 78 000 £. 
It had been considered that it might be appropriate to combine these four bridges with locks, but this idea was rejected due to siting concerns.	Considerou-se que poderia ser apropriado combinar estas quatro pontes com eclusas, mas esta ideia foi rejeitada devido a preocupações relacionadas com o local.
In 1924, residents of nearby settlements urged construction of the railway line to the proposed bridge site, but they were told this extension of the line was to be delayed.	Em 1924, os residentes das povoações vizinhas instaram à construção da linha férrea no local proposto para a ponte, mas foram informados de que a extensão da linha sofreria um atraso.
Within that year it was decided that a bridge was to be constructed due to increased traffic volume, and tenders were let for manufacture of the bridge spans, construction of abutments and piles, and transport of materials to the future construction site.	Nesse ano, decidiu-se que a ponte seria construída devido ao maior volume de tráfego, e abriram-se concursos para a construção de pontes, contrafortes e pilares de pontes, bem como para o transporte de materiais para o futuro local de construção.
Achebe expanded this criticism when he presented a Chancellor's Lecture at Amherst on 18 February 1975, 'An Image of Africa: Racism in Conrad's "Heart of Darkness"'.	Achebe desenvolveu estas críticas quando apresentou, numa Chancellor's Lecture em Amherst, no dia 18 de fevereiro de 1975, An Image of Africa: Racism in Conrad's "Heart of Darkness".
Decrying Joseph Conrad as "a bloody racist", Achebe asserted that Conrad's famous novel dehumanises Africans, rendering Africa as "a metaphysical battlefield devoid of all recognisable humanity, into which the wandering European enters at his peril."	Desacreditando Joseph Conrad ao chamá-lo de "maldito racista", Achebe declarou que o famoso romance de Conrad desumaniza as pessoas africanas, representando a África como um "campo de guerra metafísico, desprovido de qualquer humanidade reconhecível, na qual os europeus errantes entram por sua conta e risco".
Achebe also discussed a quotation from Albert Schweitzer, a 1952 Nobel Peace Prize laureate: "That extraordinary missionary, Albert Schweitzer, who sacrificed brilliant careers in music and theology in Europe for a life of service to Africans in much the same area as Conrad writes about, epitomizes the ambivalence.	Achebe também referiu uma citação de Albert Schweitzer, laureado com o Prémio Novel da Paz em 1952: "Esse missionário extraordinário, Albert Schweitzer, que sacrificou carreiras brilhantes, na musica e na teologia na Europa, por uma vida de serviço às pessoas africanas, praticamente, na mesma área sobre a qual Conrad escreve, personifica a ambivalência.
In a comment which has often been quoted Schweitzer says: 'The African is indeed my brother but my junior brother.' And so he proceeded to build a hospital appropriate to the needs of junior brothers with standards of hygiene reminiscent of medical practice in the days before the germ theory of disease came into being." Some were surprised that Achebe would challenge a man honoured in the West for his "reverence for life".	Num comentário citado frequentemente, Schweitzer diz: 'O africano é, na realidade, meu irmão, mas o meu irmão mais novo'. E, então, avançou com a construção de um hospital adequado às necessidades de irmãos mais novos, com padrões de higiene que relembravam as práticas médicas anteriores à formulação da teoria microbiana das doenças". Algumas pessoas ficaram surpreendidas com o facto de Achebe desafiar um homem honrado no Ocidente pela sua "reverência pela vida".
The lecture caused a storm of controversy, even at the reception immediately following his talk.	A conferência causou imensa controvérsia, mesmo na receção que seguiu imediatamente a sua palestra.
Many English professors in attendance were upset by his remarks; one elderly professor reportedly approached him, said: "How dare you!", and stormed away.	Muitos professores de inglês presentes ficaram perturbados com suas observações; um professor de certa idade, alegadamente, aproximou-se dele, disse: "Como se atreve!" e saiu de rompante.
Another suggested that Achebe had "no sense of humour", but several days later Achebe was approached by a third professor, who told him: "I now realize that I had never really read Heart of Darkness although I have taught it for years." Although the lecture angered many of his colleagues, he was nevertheless presented later in 1975 with an honorary doctorate from the University of Stirling and the Lotus Prize for Afro-Asian Writers.	Outro professor sugeriu que Achebe "não tinha sentido de humor", mas, vários dias mais tarde, Achebe foi abordado por um terceiro professor, que lhe disse: "Percebi agora que nunca tinha realmente lido Heart of Darkness, embora o tenha ensinado durante anos". Embora a palestra tenha enraivecido muitos dos seus colegas, foi, ainda assim, presenteado posteriormente, em 1975, com um doutoramento honorário da University of Stirling e o Prémio Lotus para Escritores Afro-Asiáticos.
The first comprehensive rebuttal of Achebe's critique was published in 1983 by British critic Cedric Watts.	A primeira refutação detalhada das críticas de Achebe foi publicada, em 1983, pelo crítico britânico Credric Watts.
His essay "A Bloody Racist: About Achebe's View of Conrad" defends Heart of Darkness as an anti-imperialist novel, suggesting that "part of its greatness lies in the power of its criticisms of racial prejudice." Palestinian–American theorist Edward Said agreed in his book Culture and Imperialism that Conrad criticised imperialism, but added: "As a creature of his time, Conrad could not grant the natives their freedom, despite his severe critique of the imperialism that enslaved them".	O seu ensaio, "A Bloody Racist: About Achebe's View of Conrad", defende Heart of Darkness como um romance anti-imperialista, sugerindo que "parte da sua grandeza reside no poder das suas críticas ao preconceito racial". O teórico palestino-americano Edward Said concordou, no seu livro Culture and Imperialism, que Conrad criticou o imperialismo, mas acrescentou: "Como criatura do seu tempo, Conrad não pôde garantir aos nativos a sua liberdade, apesar da sua forte crítica ao imperialismo que os escravizava".
Building on Watts and Said, Nidesh Lawtoo argued that "underneath the first layer of straightforward opposition ... we find an underlying mimetic continuity between Conrad's colonial image of Africa [in Heart of Darkness] and Achebe's postcolonial representation" in Things Fall Apart.	Com base em Watts e Said, Nidesh Lawtoo argumentou, em Things Fall Apart, que "sob a primeira camada de oposição direta (…) encontramos uma continuidade mimética subjacente entre a imagem colonial de África descrita por Conrad [em Heart of Darkness] e a representação pós-colonial de Achebe".
Achebe's criticism has become a mainstream perspective on Conrad's work.	As críticas de Achebe tornaram-se na perspetiva dominante sobre o trabalho de Conrad.
The essay was included in the 1988 Norton critical edition of Conrad's novel.	O ensaio foi incluído na Norton Critical Edition do romance de Conrad, publicada em 1988.
Editor Robert Kimbrough called it one of "the three most important events in Heart of Darkness criticism since the second edition of his book ..." Critic Nicolas Tredell divides Conrad criticism "into two epochal phases: before and after Achebe." Asked frequently about his essay, Achebe once explained that he never meant for the work to be abandoned: "It's not in my nature to talk about banning books.	O editor Robert Kimbrough chamou a este evento um dos "três eventos mais importantes nas críticas do Heart of Darkness, desde a segunda edição deste livro (…)". O crítico Nicolas Tredell divide as críticas a Conrad "em duas épocas: antes e depois de Achebe". Questionado frequentemente sobre o seu ensaio, Achebe explicou, numa ocasião, que nunca pretendeu que o livro fosse abandonado: "Não faz parte da minha natureza falar sobre banir livros.
I am saying, read it – with the kind of understanding and with the knowledge I talk about.	O que eu digo é: leiam-no – com o tipo de compreensão e com o conhecimento de que falo.
And read it beside African works." Interviewed on National Public Radio with Robert Siegel, in October 2009, Achebe remains consistent, although tempering this criticism in a discussion entitled "'Heart of Darkness' is inappropriate": "Conrad was a seductive writer.	E leiam-no lado a lado com obras africanas". Entrevistado na National Public Radio com Robert Siegel, em outubro de 2009, Achebe permanece consistente, embora moderando as suas críticas, num estudo intitulado "Heart of Darkness é inapropriado": "Conrad era um escritor sedutor.
He could pull his reader into the fray.	Ele conseguia mexer com os seus leitores.
And if it were not for what he said about me and my people, I would probably be thinking only of that seduction."	E se não fosse pelo que ele disse sobre mim e o meu povo, provavelmente, só estaria a pensar nessa sedução".
When he returned to the University of Nigeria in 1976, he hoped to accomplish three goals: finish the novel he had been writing, renew the native publication of Okike, and further his study of Igbo culture.	Quando voltou à University of Nigeria, em 1976, esperou atingir três objetivos: terminar o romance que tinha estado a escrever, renovar a publicação nativa de Okike e aprofundar o seu estudo sobre a cultura igbo.
He also showed that he would not restrict his criticism to European targets.	Também mostrou que não limitaria as suas críticas a alvos europeus.
In an August 1976 interview, he lashed out at the archetypal Nigerian intellectual, who is divorced from the intellect "but for two things: status and stomach.	Numa entrevista realizada em agosto de 1976, atacou violentamente o intelectual nigeriano arquetípico, o qual é divorciado do intelecto, "mas por duas coisas: o estatuto e o estômago.
On August 3, 2011, contestants Ricky Jaime and Sasha Mallory danced to "Schoolin Life" in Top 6 Perform round of the eighth season of the American television reality program and dance competition So You Think You Can Dance.	A 3 de agosto de 2011, os concorrentes Ricky Jaime e Sasha Mallory dançaram ao som de "Schoolin Life" na ronda Top 6 Perform da oitava temporada do reality show e concurso de dança americano So You Think You Can Dance.
Their dance performance was choreographed by Kumari Suraj.	A sua performance de dança foi coreografada por Kumari Suraj.
Gwen Orel of The Wall Street Journal further described their performance during a review of that episode of the show: "He's in a fedora, and she's got a cute short swingy sheer skirt, with thigh high stockings and a garter belt, and a sheer purple blouse.	Gwen Orel do The Wall Street Journal descreveu adicionalmente a sua performance, numa análise a esse episódio do programa: "Ele tem um chapéu de veludo e ela tem uma saia de roda curta, fofa e transparente, com meias e um cinto de liga, e uma blusa roxa transparente.
I don’t get what this style really is, it seems to have a lot of arm movements, and some crouching jumps.	Não percebo bem que estilo é este, parece ter muitos movimentos de braços e alguns saltos com agachamentos.
He doesn’t look quite sharp enough next to her.	Ele não parece suficientemente elegante ao lado dela.
His split leap is phenomenal."	O salto dividido dele é fenomenal".
The base slab, or pylon, of the tomb monument rests on a 38-centimetre (15 in) high plinth, separated by a cornice and concave mouldings.	A laje de base, ou pilone, do monumento funerário assenta num plinto de 38 centímetros (15 pol.) de altura, separado por uma cornija e ornamentos côncavos. 
The pylon is 1.39 metres (4.56 ft) high and 2.02 metres (6.63 ft) wide, decorated with a frieze of winged angel heads (perhaps seraphim) and garlands and ribbons.	O pilone tem 1,39 metros (4,56 pés) de altura e 2,02 metros (6,63 pés) de largura, e está decorado com um friso com cabeças de anjos alados (talvez serafins), grinaldas e laços.
Above the pylon, separated by the cornice, are the three Virtues—from left to right, Faith, Charity, and Hope—in shell niches, separated by four Corinthian fluted pilasters.	Acima do pilone, separadas pela cornija, estão as Três Virtudes — da esquerda para a direita: a Fé, a Caridade e a Esperança — em nichos em forma de concha, separadas por quatro pilastras coríntias estriadas.
Such a motif is unprecedented in Tuscan funerary sculpture but found at this date in Venice, Padua, and especially Cossa's native Naples.	Este é um motivo sem precedentes na escultura funerária toscana, mas encontrado, até à data, em Veneza, Pádua e, especialmente, em Nápoles, a cidade natal de Cossa.
As a result, excursions to Venice have been suggested for both Michelozzo and Donatello.	Como resultado, têm-se sugerido excursões até Veneza para ver ambos Michelozzo e Donatello.
However, Janson suggests that one "need not go all the way to Venice" to find such motifs.	No entanto, Janson sugere que "não é preciso percorrer todo o caminho até Veneza" para encontrar estes motivos.
Outside Florence, Virtues were common on tombs, with the cardinal Virtues used for laymen, and the theological virtues reserved for ecclesiastics, including the Brancaccio tomb.	Fora de Florença, as Virtudes eram comuns nos túmulos, com as Virtudes Cardeais a serem utilizadas para leigos e as Virtudes Teologais reservadas para eclesiásticos, incluindo no túmulo de Brancaccio.
However, the Cossa Virtues, from their hair to their sandals, are more thoroughly antique.	No entanto, as Virtudes de Cossa, do cabelo às sandálias, são mais antigas na sua totalidade.
Donatello also produced two similar bronze Virtues for the Siena Baptistry, whose chronological relationship to the Cossa Virtues is unclear.	Donatello também produziu duas Virtudes de bronze similares para o Batistério de Siena, cuja relação cronológica com as Virtudes de Cossa é incerta.
